Site,Dep,Behavior,Filename,Date,Start_Time,End_Time,Delta_Time,Weekday,n,,
JNE,1,TRANSIT,805830683.220107022302_sel02_S2.wav,1/7/2022,5:30:07,6:35:13,3906.0144,Friday,1,,
JNE,1,TRANSIT,805830683.220109022241_sel04_S3.wav,1/9/2022,21:20:09,23:22:31,7342.2194,Sunday,1,,
JNE,1,TRANSIT,805830683.220117022120_sel04_S3.wav,1/17/2022,19:44:16,20:59:30,4515.5855,Monday,1,,
JNE,1,TRANSIT,805830683.220127021938_sel01_S1.wav,1/27/2022,20:27:25,21:57:04,5380.3417,Thursday,1,,
JNE,1,TRANSIT,805830683.220202021844_sel01_S1.wav,2/2/2022,6:27:22,8:30:56,7415.2198,Wednesday,1,,
JNE,1,TRANSIT,805830683.220205021811_sel07_S7.wav,2/5/2022,9:17:08,11:30:05,7976.9799,Saturday,1,,
JNE,1,TRANSIT,805830683.220215021638_sel03_S3.wav,2/15/2022,13:35:38,14:59:03,5006.9703,Tuesday,1,,
JNE,1,TRANSIT,805830683.220225021503_sel04_S3.wav,2/25/2022,11:48:53,12:55:00,3966.8317,Friday,1,,
JNE,1,TRANSIT,805830683.220227021445_sel03_S3.wav,2/27/2022,17:11:15,18:05:57,3281.6931,Sunday,1,,
JNE,1,TRANSIT,805830683.220304021358_sel01_S1.wav,3/4/2022,15:52:03,16:43:12,3068.6535,Friday,1,,
JNE,1,TRANSIT,805830683.220307021329_sel01_S1.wav,3/7/2022,2:53:13,4:29:26,5772.1782,Monday,1,,
JNE,1,TRANSIT,805830683.220308021319_sel01_S1.wav,3/8/2022,22:51:23,1:53:27,10924.2985,Tuesday,1,,
JNE,1,TRANSIT,805830683.220222021531_sel01_S1.wav,2/22/2022,14:45:48,16:07:05,4878.5644,Tuesday,1,,
