SiteID,Weekday,total_weekday,median_ves_weekday,weekday_lower,weekday_upper,total_ins_weekday,median_ins_ves_weekday,weekday_ins_lower,weekday_ins_upper
Cod Grounds,Friday,66,8,3,9,11,1,0,1.75
Cod Grounds,Monday,42,3.5,1.25,6.25,4,0,0,0
Cod Grounds,Saturday,76,6,1.25,11.75,9,0.5,0,1
Cod Grounds,Sunday,65,7,2,9,4,0,0,1
Cod Grounds,Thursday,71,4.5,2.25,13,7,0,0,1.75
Cod Grounds,Tuesday,72,6,5,9,11,1,0,2
Cod Grounds,Wednesday,63,6,2.5,8.75,6,1,0,1
DNE,Friday,17,3,3,4,1,0,0,0
DNE,Monday,6,1.5,0.75,2.25,0,0,0,0
DNE,Saturday,8,2,0.75,3.25,0,0,0,0
DNE,Sunday,11,2.5,1.75,3.5,1,0,0,0.25
DNE,Thursday,25,3,1,6,1,0,0,0
DNE,Tuesday,9,2,0.75,3.5,0,0,0,0
DNE,Wednesday,18,3,3,4,0,0,0,0
EP,Friday,13,5,4,5,0,0,0,0
EP,Monday,2,1,0.5,1.5,0,0,0,0
EP,Saturday,25,3,2.5,11.5,2,0,0,1
EP,Sunday,8,2,1.5,3.5,0,0,0,0
EP,Thursday,29,1,0.5,14.5,16,0,0,8
EP,Tuesday,5,1,1,2,1,0,0,0.5
EP,Wednesday,14,2,2,6,0,0,0,0
GEO,Friday,108,8,5.75,11.25,1,0,0,0
GEO,Monday,30,1.5,0,4,0,0,0,0
GEO,Saturday,160,14,1,21.5,0,0,0,0
GEO,Sunday,108,7.5,2.5,14.25,0,0,0,0
GEO,Thursday,67,3.5,2,10.25,0,0,0,0
GEO,Tuesday,44,3,1,6.5,0,0,0,0
GEO,Wednesday,57,4,0.75,9,0,0,0,0
JNE,Friday,48,5,3,5.75,4,0,0,1
JNE,Monday,34,4,1,6,3,0,0,1
JNE,Saturday,57,7,2,9,1,0,0,0
JNE,Sunday,29,2,1,5,0,0,0,0
JNE,Thursday,35,3,1.25,5,0,0,0,0
JNE,Tuesday,46,4,1,5,3,0,0,1
JNE,Wednesday,36,3,2,4,2,0,0,0
MRE,Friday,1,0,0,0,0,0,0,0
MRE,Monday,0,0,0,0,0,0,0,0
MRE,Saturday,1,0,0,0,0,0,0,0
MRE,Sunday,0,0,0,0,0,0,0,0
MRE,Thursday,0,0,0,0,0,0,0,0
MRE,Tuesday,0,0,0,0,0,0,0,0
MRE,Wednesday,0,0,0,0,0,0,0,0
NGN,Friday,8,0.5,0,1.5,0,0,0,0
NGN,Monday,3,0,0,0.5,0,0,0,0
NGN,Saturday,6,1,0,1,0,0,0,0
NGN,Sunday,6,1,0.75,1,1,0,0,0
NGN,Thursday,7,0,0,1.25,0,0,0,0
NGN,Tuesday,6,1,0,1.5,0,0,0,0
NGN,Wednesday,4,0.5,0,1,0,0,0,0
SWC,Friday,45,3.5,2.75,5,0,0,0,0
SWC,Monday,44,3,2.75,4.25,0,0,0,0
SWC,Saturday,65,5,2.75,7,0,0,0,0
SWC,Sunday,42,3.5,2,4.25,0,0,0,0
SWC,Thursday,57,4.5,3,5.5,0,0,0,0
SWC,Tuesday,46,3,3,5,0,0,0,0
SWC,Wednesday,44,3,2,5,0,0,0,0
TRW D1,Friday,91,7,3.5,12.5,4,0,0,0.5
TRW D1,Monday,24,0.5,0,3.25,1,0,0,0
TRW D1,Saturday,130,6,3.5,10.5,10,0,0,1
TRW D1,Sunday,40,1,0,3,3,0,0,0
TRW D1,Thursday,120,7,1.5,18.5,9,0,0,1.5
TRW D1,Tuesday,44,1,0.5,3,2,0,0,0
TRW D1,Wednesday,64,4,1,5.5,3,0,0,0
