SiteID,n_days,Total_ves_dep,Total_ves_per_day,Total_inside_ves_per_day,Total_ins_out,Total
Cod Grounds,69,455,6.594202898550725,0.7536231884057971,Outside,403
Cod Grounds,69,455,6.594202898550725,0.7536231884057971,Inside,52
DNE,31,94,3.032258064516129,0.0967741935483871,Outside,91
DNE,31,94,3.032258064516129,0.0967741935483871,Inside,3
EP,20,96,4.8,0.95,Outside,77
EP,20,96,4.8,0.95,Inside,19
MRE,52,2,0.038461538461538464,0,Outside,2
MRE,52,2,0.038461538461538464,0,Inside,0
NGN,54,40,0.7407407407407407,0.018518518518518517,Outside,39
NGN,54,40,0.7407407407407407,0.018518518518518517,Inside,1
SWC,85,343,4.035294117647059,0,Outside,343
SWC,85,343,4.035294117647059,0,Inside,0
TRW D1,86,520,6.046511627906977,0.37209302325581395,Outside,488
TRW D1,86,520,6.046511627906977,0.37209302325581395,Inside,32
