network,npz_id,Site_ID,Dep_ID,Dep,n_days,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,mean_per_day_Dep_ID,mean_overall,Inside_transit,Inside_transit_small,n_ves_used_inout,prop_inside,total_outside,prop_inside_small,total_out_small
Northwest,DMP,DNE,202009,DAMPIER_202009_DNE,58,138,3,24,1,14,3.241,0.100877193,2,10,68,0.044117647,65,0.352941176,44
Northwest,DMP,DSW,202009,DAMPIER_202009_DSW,58,238,4,12,2,4,,0.173976608,2,8,57,0.070175439,53,0.210526316,45
Northwest,NMP,NGN,201909,NINGALOO_201909_NGN,55,40,1,22,0,0,1.135,0.030864198,1,22,31,0.032258065,30,0.709677419,9
Northwest,NMP,NGS,201909,NINGALOO_201909_NGS,56,86,3,72,2,2,,0.065151515,1,70,78,0.038461538,75,0.923076923,6
South-west,GMP,GEO,202201,GEOGRAPHE_202201_GEO,91,575,1,29,0,20,6.319,0.266203704,1,9,390,0.002564103,389,0.074358974,361
South-west,JMP,JNE,202201,JURIEN_202201_JNE,66,286,13,77,1,40,4.009,0.183333333,12,37,234,0.055555556,221,0.329059829,157
South-west,JMP,JSE,202201,JURIEN_202201_JSE,40,139,8,30,2,10,,0.148504274,6,20,111,0.072072072,103,0.27027027,81
South-west,MMP,MRE,202002,MURAT_202002_MRE,86,2,0,0,0,0,0.024,9.69E-04,0,0,2,0,2,0,2
South-west,MMP,MRW,202002,MURAT_202002_MRW,78,2,0,0,0,0,,0.001068376,0,0,2,0,2,0,2
South-west,SWCMP,SWS,202201,SWC_202201_SWS,85,343,0,0,0,0,4.035,0.170138889,0,0,264,0,264,0,264
South-west,TRMP,TRE,202105,TWOROCKS_202105_TRE,78,589,29,137,25,119,6.762,0.318722944,4,18,424,0.068396226,395,0.323113208,287
South-west,TRMP,TRW,202105,TWOROCKS_202105_TRW,86,520,32,190,27,153,,0.254901961,5,37,407,0.078624079,375,0.466830467,217
Temperate East,CGMP,CG,201807,CGMP_201807_CG,35,364,39,198,14,45,10.400,0.433333333,25,153,208,0.1875,169,0.951923077,10
Temperate East,CGMP,CG,201812,CGMP_201812_CG,71,395,1,72,0,0,5.563,0.231807512,1,72,95,0.010526316,94,0.757894737,23
Temperate East,CGMP,CG,201904,CGMP_201904_CG,75,473,52,294,31,72,6.307,0.262777778,21,222,327,0.159021407,275,0.899082569,33
Temperate East,SIMP,EP,201808,SIMP_201808_EP,34,240,9,73,4,26,7.806,0.294117647,5,47,101,0.089108911,92,0.722772277,28
Temperate East,SIMP,WP,201808,SIMP_201808_WP,33,283,28,129,4,28,,0.357323232,24,101,164,0.170731707,136,0.786585366,35
Temperate East,SIMP,EP,201812,SIMP_201812_EP,35,222,16,68,12,45,6.329,0.264285714,4,23,130,0.123076923,114,0.523076923,62
Temperate East,SIMP,WP,201812,SIMP_201812_WP,35,221,24,89,17,34,,0.263095238,7,55,135,0.177777778,111,0.659259259,46
Temperate East,SIMP,EP,201906,SIMP_201906_EP,20,96,19,47,19,36,4.235,0.2,0,11,74,0.256756757,55,0.635135135,27
Temperate East,SIMP,WP,201906,SIMP_201906_WP,61,247,53,141,46,79,,0.168715847,7,62,167,0.317365269,114,0.844311377,26
